,num_max_articles,Run,Media,Mediana,Moda,num_max_authors
0,100,0,18.36,16.0,0,10
1,100,1,19.86,17.0,0,10
2,100,2,18.75,18.0,0,10
3,100,3,17.4,15.0,0,10
4,100,4,18.41,15.5,0,10
5,100,5,17.38,15.0,0,10
6,100,6,17.66,15.0,0,10
7,100,7,17.34,14.5,0,10
8,100,8,18.47,15.5,0,10
9,100,9,18.56,15.0,0,10
10,150,10,21.746666666666666,21.5,0,10
11,150,11,24.573333333333334,24.0,0,10
12,150,12,24.58,24.0,0,10
13,150,13,23.213333333333335,24.0,0,10
14,150,14,22.673333333333332,21.0,0,10
15,150,15,22.926666666666666,21.5,0,10
16,150,16,22.766666666666666,23.0,0,10
17,150,17,20.78,20.5,0,10
18,150,18,23.386666666666667,24.5,0,10
19,150,19,23.78,24.0,0,10
20,200,20,26.085,26.0,0,10
21,200,21,26.495,29.0,0,10
22,200,22,26.86,28.0,0,10
23,200,23,26.74,27.0,0,10
24,200,24,26.09,26.0,0,10
25,200,25,27.095,28.5,0,10
26,200,26,25.665,25.0,0,10
27,200,27,25.52,26.0,0,10
28,200,28,26.095,26.0,0,10
29,200,29,25.785,26.0,0,10
30,250,30,27.872,29.0,0,10
31,250,31,28.148,28.0,0,10
32,250,32,28.268,29.0,0,10
33,250,33,27.228,27.0,0,10
34,250,34,27.476,29.0,0,10
35,250,35,27.832,27.5,0,10
36,250,36,26.796,27.0,0,10
37,250,37,27.748,29.0,0,10
38,250,38,28.104,29.0,0,10
39,250,39,27.984,29.0,0,10
40,300,40,29.64,30.0,0,10
41,300,41,28.996666666666666,29.0,0,10
42,300,42,28.94,29.0,0,10
43,300,43,29.39666666666667,30.5,0,10
44,300,44,28.606666666666666,29.0,0,10
45,300,45,30.333333333333332,31.5,0,10
46,300,46,28.37,29.0,0,10
47,300,47,30.203333333333333,30.0,0,10
48,300,48,28.24,28.0,0,10
49,300,49,28.633333333333333,30.0,0,10
50,350,50,28.785714285714285,29.0,0,10
51,350,51,29.85142857142857,31.0,0,10
52,350,52,30.585714285714285,32.0,0,10
53,350,53,30.52285714285714,33.0,0,10
54,350,54,30.14,31.0,0,10
55,350,55,30.15142857142857,31.0,0,10
56,350,56,29.574285714285715,30.0,0,10
57,350,57,29.642857142857142,29.0,0,10
58,350,58,30.834285714285713,32.0,0,10
59,350,59,30.571428571428573,32.0,0,10
60,400,60,29.415,30.0,0,10
61,400,61,30.2875,31.5,0,10
62,400,62,30.865,31.5,0,10
63,400,63,30.82,31.0,0,10
64,400,64,30.5625,31.0,0,10
65,400,65,30.0675,30.0,0,10
66,400,66,30.1275,31.0,0,10
67,400,67,30.3325,32.0,0,10
68,400,68,31.5575,33.0,0,10
69,400,69,31.3075,32.0,0,10
70,450,70,32.79555555555555,33.0,0,10
71,450,71,31.637777777777778,32.0,0,10
72,450,72,30.413333333333334,30.5,0,10
73,450,73,30.666666666666668,31.0,0,10
74,450,74,30.79111111111111,30.0,0,10
75,450,75,31.157777777777778,32.0,0,10
76,450,76,32.14,33.0,39,10
77,450,77,31.448888888888888,32.0,0,10
78,450,78,31.006666666666668,31.5,0,10
79,450,79,31.802222222222223,33.0,0,10
80,500,80,30.398,30.0,0,10
81,500,81,31.98,32.0,0,10
82,500,82,32.47,33.0,0,10
83,500,83,31.956,33.0,0,10
84,500,84,33.124,33.0,0,10
85,500,85,32.948,34.0,0,10
86,500,86,31.956,32.0,0,10
87,500,87,31.238,32.0,0,10
88,500,88,32.422,33.5,0,10
89,500,89,33.434,34.0,0,10
90,550,90,32.16909090909091,32.0,0,10
91,550,91,32.36727272727273,33.0,0,10
92,550,92,33.28181818181818,33.5,0,10
93,550,93,32.92909090909091,34.0,0,10
94,550,94,33.52909090909091,34.0,41,10
95,550,95,32.88545454545454,34.0,36,10
96,550,96,31.745454545454546,32.0,0,10
97,550,97,31.37272727272727,32.0,0,10
98,550,98,32.163636363636364,33.0,0,10
99,550,99,32.96909090909091,33.0,0,10
100,600,100,32.92,34.0,0,10
101,600,101,32.74666666666667,32.0,0,10
102,600,102,32.555,33.0,0,10
103,600,103,33.333333333333336,34.0,0,10
104,600,104,33.18666666666667,34.0,0,10
105,600,105,33.53333333333333,33.0,0,10
106,600,106,32.49333333333333,33.0,0,10
107,600,107,32.29833333333333,33.0,0,10
108,600,108,32.78666666666667,33.0,33,10
109,600,109,33.166666666666664,32.0,0,10
110,650,110,32.75846153846154,33.0,0,10
111,650,111,32.81230769230769,33.0,0,10
112,650,112,33.45846153846154,34.0,0,10
113,650,113,33.332307692307694,34.0,0,10
114,650,114,33.52153846153846,33.0,0,10
115,650,115,33.22769230769231,34.0,0,10
116,650,116,33.75692307692308,35.0,0,10
117,650,117,33.89230769230769,34.0,0,10
118,650,118,32.567692307692305,33.0,0,10
119,650,119,33.81846153846154,34.0,0,10
120,700,120,34.15714285714286,34.0,0,10
121,700,121,34.067142857142855,35.0,0,10
122,700,122,32.86571428571428,33.0,0,10
123,700,123,33.747142857142855,34.0,35,10
124,700,124,33.29571428571428,34.0,0,10
125,700,125,34.465714285714284,35.0,0,10
126,700,126,33.41285714285714,33.0,0,10
127,700,127,34.72142857142857,36.0,0,10
128,700,128,34.24857142857143,34.0,0,10
129,700,129,33.54571428571428,34.0,0,10
130,750,130,34.03066666666667,35.0,0,10
131,750,131,32.88933333333333,34.0,0,10
132,750,132,33.63333333333333,34.0,0,10
133,750,133,33.724,35.0,0,10
134,750,134,33.49466666666667,33.5,0,10
135,750,135,33.24133333333333,33.0,0,10
136,750,136,33.92933333333333,35.0,0,10
137,750,137,33.026666666666664,33.0,0,10
138,750,138,33.41866666666667,34.0,0,10
139,750,139,33.86533333333333,34.0,0,10
140,800,140,33.13625,34.0,0,10
141,800,141,33.945,35.0,0,10
142,800,142,34.71625,35.0,0,10
143,800,143,33.51625,33.0,0,10
144,800,144,34.335,34.0,0,10
145,800,145,34.43875,36.0,0,10
146,800,146,34.60125,35.0,0,10
147,800,147,35.27,35.0,43,10
148,800,148,34.2375,34.0,0,10
149,800,149,34.51375,35.0,49,10
150,850,150,34.3164705882353,34.0,34,10
151,850,151,33.86,34.0,0,10
152,850,152,33.09058823529412,33.0,0,10
153,850,153,34.2,35.0,0,10
154,850,154,33.72941176470588,34.0,0,10
155,850,155,35.31294117647059,35.0,0,10
156,850,156,33.9,35.0,0,10
157,850,157,34.103529411764704,34.0,0,10
158,850,158,33.644705882352945,34.0,0,10
159,850,159,34.294117647058826,34.0,0,10
160,900,160,34.614444444444445,35.0,0,10
161,900,161,34.22888888888889,34.0,0,10
162,900,162,34.32888888888889,35.0,0,10
163,900,163,34.43,34.0,0,10
164,900,164,35.227777777777774,36.0,43,10
165,900,165,33.98,35.0,0,10
166,900,166,34.29666666666667,34.0,0,10
167,900,167,34.736666666666665,35.0,0,10
168,900,168,34.02111111111111,35.0,0,10
169,900,169,33.88111111111111,34.0,0,10
170,950,170,33.57157894736842,33.0,0,10
171,950,171,34.64421052631579,35.0,0,10
172,950,172,34.37263157894737,35.0,40,10
173,950,173,34.53157894736842,35.0,0,10
174,950,174,34.93052631578947,36.0,0,10
175,950,175,34.165263157894735,34.0,0,10
176,950,176,34.29052631578947,35.0,0,10
177,950,177,35.34947368421053,35.0,46,10
178,950,178,35.15263157894737,35.0,0,10
179,950,179,35.730526315789476,36.0,0,10
